-55.302, -43.858, 100
-54.508, -43.25, 98.98
-53.714, -42.642, 97.689
-52.92, -42.034, 96.38
-52.127, -41.426, 95.053
-51.333, -40.818, 93.707
-50.539, -40.21, 92.342
-49.745, -39.602, 90.956
-48.951, -38.994, 89.549
-48.157, -38.386, 88.12
-47.363, -37.778, 86.666
-46.569, -37.17, 85.188
-45.775, -36.562, 83.684
-44.981, -35.954, 82.153
-44.187, -35.346, 80.592
-43.393, -34.738, 79
-42.599, -34.13, 77.376
-41.805, -33.522, 75.717
-41.011, -32.914, 74.021
-40.217, -32.306, 72.285
-39.423, -31.698, 70.506
-38.629, -31.09, 68.681
-37.835, -30.482, 66.806
-37.041, -29.874, 64.877
-36.248, -29.266, 62.889
-35.454, -28.658, 60.836
-34.66, -28.05, 58.712
-33.866, -27.442, 56.507
-33.072, -26.834, 54.213
-32.278, -26.226, 51.818
-31.484, -25.618, 49.306
-30.69, -25.01, 46.659
-29.896, -24.402, 43.853
-29.139, -23.75, 40.855
-28.374, -23.106, 37.619
-27.582, -22.495, 34.076
-26.756, -21.932, 30.121
-25.882, -21.446, 25.562
-24.943, -21.111, 20
-23.954, -21.113, 20
-23.159, -21.689, 20
-22.737, -22.59, 39.025
-22.53, -23.568, 65.315
-22.438, -24.563, 75.722
-22.416, -25.563, 74.026
-22.436, -26.562, 72.29
-22.486, -27.561, 70.512
-22.557, -28.559, 68.687
-22.643, -29.555, 66.813
-22.739, -30.55, 64.884
-22.841, -31.545, 62.896
-22.948, -32.539, 60.843
-23.055, -33.534, 58.719
-23.162, -34.528, 56.515
-23.266, -35.522, 54.221
-23.364, -36.518, 51.826
-23.456, -37.513, 49.314
-23.537, -38.51, 46.668
-23.607, -39.508, 43.863
-23.663, -40.506, 40.865
-23.7, -41.505, 37.629
-23.714, -42.505, 34.087
-23.702, -43.505, 30.132
-23.657, -44.504, 25.573
-23.57, -45.5, 20
-23.518, -45.93, 0
-23.518, -45.93, 0
-21.119, -65.786, 0
endData
127
100
200
-55.302, -43.858, -42.52, -34.069, -42.52, -34.069, -29.737, -24.28
-29.737, -24.28, -17.069, -12.764, -25.015, -34.875, -23.518, -45.93
